participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,54.937957763671875,157,25,-13.206521987915039,-21.751911163330078,-31.06330108642578,odd,40,50
XXX_40,86.3030776977539,161,26,-22.569311141967773,-26.11829948425293,-43.66130065917969,odd,40,50
XXX_39,62.765848795572914,190,26,-9.401988983154297,-21.87143325805664,-20.546600341796875,odd,40,50
XXX_36,56.96237564086914,187,27,-1.5497550964355469,-5.091621398925781,-2.9150123596191406,pair,40,50
XXX_34,33.303040186564125,173,29,23.012821197509766,-5.874900817871094,26.448501586914062,pair,40,50
XXX_24,51.93234380086263,176,32,-4.142110824584961,-5.676944732666016,-8.50979995727539,odd,40,50
XXX_38,50.76008605957031,180,62,-9.73253345489502,-19.73870086669922,-28.16135597229004,pair,40,40
XXX_35,40.48995844523112,178,27,-7.010766983032227,-11.125354766845703,-8.607444763183594,odd,40,40
XXX_32,64.92212931315105,173,31,-2.4544334411621094,7.171699523925781,3.9750099182128906,pair,40,40
XXX_28,54.20950826009115,170,29,3.4476661682128906,6.248378753662109,16.685935974121094,pair,40,40
XXX_42,28.778155008951824,169,21,-1.6424026489257812,-10.817569732666016,-22.49388885498047,pair,50,50
XXX_37,56.30469004313151,185,26,-12.76180648803711,-22.637598037719727,-22.81134796142578,odd,50,50
XXX_25,82.41951751708984,166,51,0.05938911437988281,11.541667938232422,21.061485290527344,odd,50,50
XXX_41,42.061422983805336,171,24,17.559112548828125,19.049415588378906,3.6092529296875,odd,50,40
XXX_33,35.51988093058268,176,48,-0.9464302062988281,-1.9284706115722656,-7.6826934814453125,pair,50,40
XXX_31,70.39163335164388,175,27,-7.6047773361206055,-20.092361450195312,-10.536083221435547,pair,50,40
XXX_30,55.80687459309896,167,60,-7.553055763244629,-0.63275146484375,15.794639587402344,pair,50,40
XXX_27,48.87721252441406,178,26,-7.254666328430176,0.8689727783203125,-2.892292022705078,pair,50,40
XXX_26,30.561609903971355,179,34,5.696653366088867,4.392486572265625,35.66667938232422,pair,50,40
