participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,49.979671478271484,157,25,-10.003522872924805,-11.175865173339844,-23.874378204345703,odd,40,50
XXX_40,84.33730824788411,161,26,-24.73198890686035,-33.954532623291016,-40.71465492248535,odd,40,50
XXX_39,53.554039001464844,190,26,-12.496477127075195,-16.733123779296875,-26.245933532714844,odd,40,50
XXX_36,56.376721700032554,187,27,6.339210510253906,8.196754455566406,-3.7893333435058594,pair,40,50
XXX_34,31.92839749654134,173,29,14.217666625976562,16.86713409423828,16.229522705078125,pair,40,50
XXX_24,52.93703969319662,176,32,-0.9886341094970703,-3.932353973388672,-8.80411148071289,odd,40,50
XXX_38,53.411705017089844,180,62,-9.492466926574707,-18.519010543823242,-22.75838851928711,pair,40,40
XXX_35,42.26174290974935,178,27,-19.33003330230713,-6.254077911376953,6.760520935058594,odd,40,40
XXX_32,73.41408411661784,173,31,0.5071449279785156,4.9394989013671875,14.622596740722656,pair,40,40
XXX_28,42.3626963297526,170,29,-4.718832969665527,-5.823711395263672,8.917167663574219,pair,40,40
XXX_42,37.00827280680338,169,21,-5.373180389404297,-11.452499389648438,-14.86111068725586,pair,50,50
XXX_37,44.32338841756185,185,26,-12.635068893432617,-23.371305465698242,-34.6614875793457,odd,50,50
XXX_25,39.67097727457682,166,51,6.198097229003906,-15.059070587158203,31.709152221679688,odd,50,50
XXX_41,39.00692367553711,171,24,24.548473358154297,21.994361877441406,35.804443359375,odd,50,40
XXX_33,39.05365117390951,176,48,-1.4109859466552734,3.7140960693359375,0.5595970153808594,pair,50,40
XXX_31,44.94062614440918,175,27,-8.586000442504883,-4.624195098876953,8.049972534179688,pair,50,40
XXX_30,64.68835067749023,167,60,-13.358180522918701,-5.56854248046875,-9.134819030761719,pair,50,40
XXX_27,50.33056640625,178,26,-2.974569320678711,-22.382667541503906,-7.614040374755859,pair,50,40
XXX_26,31.178617477416992,179,34,0.7977218627929688,16.006526947021484,3.241748809814453,pair,50,40
