perception_id,participant_id,perceived_distance,weather_id,velocity_id,distance_id,velocity_ms,real_time,perceived_time,velocity_group,velocity_cat,error_ttc,ttc_bin
181,XXX_30,36.528,night,30.0,40.0,8.333333333333334,4.8,4.38336,low,30 km/h,-0.4166400000000001,5
182,XXX_30,36.0038,night,70.0,40.0,19.444444444444446,2.057142857142857,1.8516239999999997,high,70 km/h,-0.20551885714285723,2
183,XXX_30,71.1756,clear,70.0,60.0,19.444444444444446,3.0857142857142854,3.6604594285714285,high,70 km/h,0.5747451428571431,3
184,XXX_30,38.8209,clear,30.0,40.0,8.333333333333334,4.8,4.658508,low,30 km/h,-0.1414919999999995,5
185,XXX_30,48.9755,clear,70.0,40.0,19.444444444444446,2.057142857142857,2.5187399999999998,high,70 km/h,0.4615971428571428,2
186,XXX_30,6.64182,night,50.0,20.0,13.88888888888889,1.44,0.47821104,medium,50 km/h,-0.96178896,1
187,XXX_30,15.917,rain,30.0,20.0,8.333333333333334,2.4,1.9100399999999997,low,30 km/h,-0.4899600000000002,2
188,XXX_30,34.4315,night,50.0,40.0,13.88888888888889,2.88,2.479068,medium,50 km/h,-0.40093200000000007,3
189,XXX_30,8.03816,clear,70.0,20.0,19.444444444444446,1.0285714285714285,0.4133910857142856,high,70 km/h,-0.6151803428571428,1
190,XXX_31,11.414,night,50.0,20.0,13.88888888888889,1.44,0.821808,medium,50 km/h,-0.618192,1
191,XXX_31,37.2796,night,70.0,60.0,19.444444444444446,3.0857142857142854,1.9172365714285713,high,70 km/h,-1.1684777142857141,3
192,XXX_31,21.3886,rain,50.0,40.0,13.88888888888889,2.88,1.5399791999999999,medium,50 km/h,-1.3400208,3
193,XXX_31,21.9741,night,70.0,40.0,19.444444444444446,2.057142857142857,1.1300965714285713,high,70 km/h,-0.9270462857142856,2
194,XXX_31,39.1019,rain,70.0,60.0,19.444444444444446,3.0857142857142854,2.010954857142857,high,70 km/h,-1.0747594285714284,3
195,XXX_31,9.552,rain,50.0,20.0,13.88888888888889,1.44,0.6877439999999999,medium,50 km/h,-0.752256,1
196,XXX_31,28.0782,night,30.0,60.0,8.333333333333334,7.199999999999999,3.3693839999999997,low,30 km/h,-3.8306159999999996,7
197,XXX_31,21.2809,night,30.0,40.0,8.333333333333334,4.8,2.553708,low,30 km/h,-2.246292,5
198,XXX_31,33.2781,clear,30.0,60.0,8.333333333333334,7.199999999999999,3.993372,low,30 km/h,-3.2066279999999994,7
199,XXX_31,9.57744,clear,70.0,20.0,19.444444444444446,1.0285714285714285,0.49255405714285705,high,70 km/h,-0.5360173714285714,1
200,XXX_31,22.1097,clear,30.0,40.0,8.333333333333334,4.8,2.653164,low,30 km/h,-2.146836,5
201,XXX_31,39.7881,rain,50.0,60.0,13.88888888888889,4.32,2.8647432,medium,50 km/h,-1.4552568000000004,4
202,XXX_31,39.0301,clear,70.0,60.0,19.444444444444446,3.0857142857142854,2.0072622857142854,high,70 km/h,-1.078452,3
203,XXX_31,19.9076,clear,50.0,40.0,13.88888888888889,2.88,1.4333471999999998,medium,50 km/h,-1.4466528,3
204,XXX_31,49.4639,clear,50.0,60.0,13.88888888888889,4.32,3.5614008,medium,50 km/h,-0.7585992000000004,4
205,XXX_31,16.686,rain,30.0,20.0,8.333333333333334,2.4,2.0023199999999997,low,30 km/h,-0.39768000000000026,2
206,XXX_31,44.4787,clear,70.0,40.0,19.444444444444446,2.057142857142857,2.287476,high,70 km/h,0.2303331428571429,2
207,XXX_31,12.3952,clear,50.0,20.0,13.88888888888889,1.44,0.8924544000000001,medium,50 km/h,-0.5475455999999999,1
208,XXX_31,33.458,rain,30.0,60.0,8.333333333333334,7.199999999999999,4.014959999999999,low,30 km/h,-3.18504,7
209,XXX_31,35.3758,night,50.0,40.0,13.88888888888889,2.88,2.5470575999999996,medium,50 km/h,-0.3329424000000003,3
210,XXX_31,11.3398,rain,70.0,40.0,19.444444444444446,2.057142857142857,0.5831897142857142,high,70 km/h,-1.4739531428571429,2
211,XXX_31,27.946,rain,30.0,40.0,8.333333333333334,4.8,3.35352,low,30 km/h,-1.4464799999999998,5
212,XXX_31,18.1295,night,30.0,20.0,8.333333333333334,2.4,2.17554,low,30 km/h,-0.2244600000000001,2
